f1 	 f2         f3        f4      f5       f6    energy   stiffness
13.12438 18.18248 0.77938 0.79914 123.06192 1.48430 15.89020 13.62134
23.58643 17.67102 0.45537 0.71057 352.65865 1.73450 17.87977 17.79630
80.25140 18.58088 0.77224 0.67770 382.92664 1.92766 25.54127 19.35864
17.86775 11.89820 0.50716 0.43639 345.43548 0.57637 12.55694 13.77968
43.68861 13.19520 0.50508 0.78529 359.32510 0.85261 17.92291 14.72266
86.63116 16.97905 0.53027 0.95625 167.97629 0.59502 20.48399 11.80175
52.65322 9.28578 0.52660 0.54045 159.77872 1.13249 13.79904 12.75231
65.35017 12.35380 0.82285 0.82575 305.67002 1.79574 23.20738 17.62094
35.24125 13.98665 0.46215 0.24491 450.13309 0.62244 16.40230 14.29680
64.92007 5.23300 0.91422 0.86822 173.58138 1.20967 22.94462 14.69519
76.77005 13.90222 0.13335 0.35380 285.13565 0.68831 14.42846 11.00907
11.46306 11.50515 0.79649 0.51608 271.57293 1.65933 10.86540 14.29129
70.01155 17.11041 0.21308 0.44006 298.91567 1.76213 16.26503 13.03692
89.10889 9.72867 0.65666 0.26408 164.60431 0.56494 15.18258 10.13159
69.85325 18.39333 0.10933 0.92370 236.97626 1.22966 18.68768 12.63872
32.43552 13.66786 0.58476 0.49612 204.75216 0.85912 13.63535 11.16675
73.14235 7.76015 0.10272 0.62456 437.81078 1.92871 13.73004 17.85649
18.25808 16.81894 0.95607 0.59529 420.13290 1.91584 22.40245 20.24358
45.83148 14.18047 0.91486 0.30573 270.65566 1.42090 16.98480 14.28919
82.68764 5.80864 0.81637 0.36516 342.80618 1.96023 16.18266 16.05144
33.48913 11.30291 0.92375 0.26095 158.18624 1.01729 12.48461 12.00366
33.02203 15.18603 0.23100 0.60634 303.84532 1.84678 13.61099 17.59074
20.40229 18.77903 0.24196 0.40924 218.77883 1.15189 13.03047 10.94298
11.54936 5.00603 0.26887 0.48565 443.86038 0.85372 14.14028 14.97961
64.30684 19.65139 0.66025 0.28645 368.63935 1.91124 21.74412 19.25201
26.93025 10.64870 0.91523 0.83004 353.38961 1.52633 22.60638 19.01725
31.24373 19.60675 0.99096 0.28527 149.90052 0.59737 13.24616 10.57861
49.32585 14.07074 0.74001 0.98857 288.23515 1.80564 19.20266 17.48781
14.26900 17.43269 0.75862 0.34173 494.62911 1.55207 20.32240 18.34690
55.92941 13.62067 0.91836 0.65792 479.31967 1.40739 27.28758 18.96531
21.73829 14.42114 0.46079 0.23588 358.03426 1.59856 12.62869 14.17717
57.14444 9.28364 0.32487 0.82969 160.68995 0.88016 16.59721 11.27382
65.98067 13.80250 0.25609 0.35168 355.65074 1.40073 12.76873 13.58106
18.18675 16.25033 0.20751 0.62232 326.26485 1.72193 10.89329 16.29919
43.12448 17.87471 0.83135 0.79206 287.46634 0.58117 18.51124 15.54985
65.55201 16.32623 0.23211 0.31995 271.21499 0.69577 13.47624 10.95503
43.13434 15.47086 0.33787 0.64087 339.70790 1.76367 16.16001 17.25015
13.99628 17.96719 0.83718 0.37329 439.98796 1.42752 17.78357 18.28581
52.87171 9.84021 0.37953 0.80736 400.44842 1.29693 18.18174 16.93433
63.10357 15.06183 0.98418 0.77833 331.74422 0.87244 25.37632 17.79652
51.19113 11.76311 0.33997 0.34124 469.88167 0.94262 19.16863 16.20682
85.56758 10.73154 0.58029 0.88957 125.89599 1.80903 19.02879 13.22668
56.92440 11.16217 0.38302 0.21582 496.53860 1.13250 20.30832 16.98003
82.27215 11.02219 0.91970 0.88819 121.19782 0.59665 19.95409 12.27927
20.99798 9.76076 0.42990 0.64712 179.79822 1.84548 11.87608 15.91252
21.14211 14.32879 0.49023 0.52258 269.10106 0.80507 14.55347 13.81498
74.59130 11.45371 0.56106 0.80700 143.00355 1.73934 17.27968 14.38046
41.81415 19.60703 0.94500 0.77354 349.46816 1.82266 26.00098 20.78214
23.22834 15.16701 0.12785 0.98986 119.19703 1.23013 13.13075 11.37703
84.20069 7.97855 0.74519 0.42247 213.84955 1.39770 19.81815 13.71161
37.82127 11.40052 0.90192 0.20303 124.41467 1.29090 13.85436 10.44405
70.06497 10.15019 0.12456 0.94712 381.40773 1.43723 25.44599 15.53940
68.07984 16.96458 0.56985 0.88632 367.38247 1.78256 21.63597 18.19852
80.66449 18.19997 0.39339 0.78308 251.43224 0.92321 18.95097 14.22755
59.89378 18.55763 0.87354 0.61335 175.27770 1.82563 20.22812 13.49085
70.07539 14.94080 0.60266 0.76556 398.80193 1.35154 17.52391 17.92273
37.91187 9.05312 0.72121 0.82442 236.15172 0.67265 18.90268 12.66495
31.59423 8.78550 0.50757 0.49990 418.12047 0.84050 16.82810 15.95619
81.67090 17.82347 0.66548 0.81626 295.16038 1.39397 22.44952 15.60608
44.24730 12.91572 0.36109 0.80050 310.26778 0.85917 14.28387 16.20448
87.18720 17.03242 0.10841 0.69057 111.39634 0.69712 12.56140 9.99264
63.07532 13.58733 0.61908 0.52149 357.69281 0.74277 19.72584 13.56904
59.73566 15.99714 0.38030 0.75785 240.26260 1.76731 20.28491 16.78541
19.17968 12.78517 0.56554 0.20249 191.68201 1.40328 13.64676 10.76717
85.95914 16.56326 0.92477 0.81992 273.55335 1.94535 22.89346 17.30628
45.99297 13.53287 0.48383 0.91713 252.98698 1.01852 16.29223 13.30113
56.27117 11.98565 0.32266 0.39145 287.91562 1.39344 13.93988 13.57007
42.65094 10.14033 0.43416 0.29661 491.79334 1.39848 12.21073 18.36422
28.96216 6.02314 0.93868 0.37623 245.75123 1.42356 14.54709 12.77271
82.27036 10.66886 0.94318 0.44168 409.76405 0.58877 23.88836 14.98527
55.89436 6.19439 0.85990 0.90642 321.10704 1.62548 25.40741 16.17997
10.22963 19.74226 0.92819 0.63453 455.65244 1.92231 22.32540 22.54335
59.37159 7.72419 0.30511 0.42937 241.98114 1.30202 16.80981 13.22342
36.13159 17.17788 0.17873 0.31068 198.20747 0.78883 12.06765 9.54434
52.16465 18.12442 0.30458 0.43212 464.40770 1.62939 18.56187 18.36781
80.87537 15.32620 0.38294 0.69110 117.41371 0.51098 15.59108 9.85545
38.58158 13.54242 0.25729 0.45931 480.30137 0.99238 16.96814 16.24082
82.68281 7.41457 0.64638 0.56589 322.56277 1.87641 18.70414 17.02087
59.86881 12.00320 0.47223 0.55529 250.54529 1.38255 15.87297 13.76955
11.26570 10.17758 0.83472 0.86251 498.02093 1.78279 20.48648 21.50092
84.35498 8.37560 0.26662 0.54108 123.34506 1.40701 14.44772 9.39443
65.27175 13.88768 0.73169 0.47656 306.68254 1.73387 19.03138 16.77727
89.78583 9.68405 0.31632 0.73998 112.43883 1.81923 13.20123 11.29303
23.78724 18.74458 0.61680 0.37719 328.47030 0.98148 14.80637 14.47188
20.97086 18.64453 0.41409 0.57380 172.18740 0.68443 11.18418 11.25995
84.60764 8.85677 0.15127 0.45181 352.38368 1.58196 12.43609 12.82843
65.74545 6.66337 0.30593 0.70148 492.36947 1.16052 20.55980 16.94691
15.28001 7.89444 0.69769 0.90189 449.96102 0.69010 22.67004 17.31026
70.43704 12.49376 0.54753 0.55815 280.73450 1.38474 22.48285 14.28545
70.31010 15.92879 0.56711 0.82757 383.38435 0.55410 24.78768 15.31757
83.84196 8.12292 0.25725 0.56557 410.98750 0.80027 16.30556 13.22962
66.92198 8.72050 0.61364 0.72498 297.93723 1.68245 21.54490 17.38605
19.94168 17.77508 0.99708 0.30547 311.41340 0.51815 19.72490 15.39902
11.59041 11.23773 0.83515 0.54639 160.31376 0.95502 10.01361 12.34095
12.09688 14.25028 0.63494 0.92745 247.75997 0.53206 18.58401 15.75475
12.26452 8.50499 0.97839 0.68438 156.88850 1.99623 18.01552 14.97956
29.69689 6.52951 0.91141 0.81342 390.75750 1.37304 21.52295 17.77005
78.80224 12.73786 0.63605 0.60376 290.80520 0.94006 19.69146 14.46956
53.10649 12.15711 0.12918 0.59844 279.55153 1.89342 15.69162 12.53945
54.22576 7.29007 0.18422 0.87432 454.39919 1.26068 22.79357 16.00170
77.36247 14.32709 0.15883 0.25425 311.04751 1.18204 13.83360 12.89898
19.93387 13.16015 0.50656 0.65862 263.63633 1.38181 14.50738 14.11183
32.33469 14.81206 0.43789 0.95421 207.55681 0.89621 16.94533 12.04187
56.86074 7.16818 0.97782 0.61429 128.80481 0.95793 18.63775 12.03338
87.56766 16.27292 0.25118 0.35557 267.25445 1.05748 12.17604 12.85675
54.88242 8.33074 0.97551 0.87835 110.30139 0.86667 22.68118 12.70834
11.49178 12.79028 0.79073 0.40131 216.46158 1.37682 14.12639 12.77166
74.05061 16.77944 0.84181 0.76058 301.40380 1.54377 24.16969 16.23751
28.63794 5.33496 0.66935 0.63221 486.37323 0.60792 18.64438 17.09036
74.56842 9.86544 0.70186 0.95907 143.75317 1.95662 19.78037 15.18359
41.02885 18.09384 0.52919 0.69947 369.21642 1.62961 18.58671 17.29722
79.08335 17.67064 0.11182 0.87038 299.97295 1.70924 20.36227 16.38951
69.76973 13.07661 0.41771 0.20635 410.83929 1.62746 16.60696 15.95037
54.49922 17.99912 0.54286 0.99147 157.44280 0.62009 21.19025 13.14503
20.91642 19.24709 0.75708 0.26217 133.28105 1.22254 13.27675 8.89290
14.79342 17.39610 0.52177 0.45770 259.68744 1.16851 13.21948 14.24904
19.70748 17.81173 0.51166 0.95692 418.78490 1.50871 24.36993 20.87120
13.56415 6.48115 0.22390 0.20715 176.67030 1.17311 4.61955 8.10973
18.59953 14.76956 0.10980 0.85818 407.11088 1.55647 14.73961 15.63614
28.05675 15.55275 0.78245 0.88897 216.11920 1.52247 19.89323 16.15900
67.03912 14.15361 0.38796 0.55186 186.75660 1.54572 15.11360 11.89351
54.77736 16.99423 0.98595 0.40460 106.68624 1.42790 14.20841 11.03416
11.00448 5.51857 0.29821 0.84215 259.46362 0.72647 12.55126 13.33680
15.75794 16.55358 0.40484 0.58229 252.43260 1.64120 12.48396 12.77793
87.38211 15.97593 0.57151 0.30747 363.73797 1.67157 20.86318 16.58565
55.44804 8.89548 0.77940 0.94228 128.36736 1.85615 17.99359 13.03242
26.26346 8.85604 0.51747 0.91678 161.04159 0.85065 17.14699 13.23753
30.18606 14.48455 0.21234 0.59324 106.63035 0.76502 12.30369 9.47610
69.50607 10.17946 0.38125 0.88536 145.51854 1.08665 16.44903 11.21605
25.63436 16.94883 0.55407 0.53486 360.71571 0.98085 16.49730 15.49491
56.50871 11.69219 0.70646 0.74677 261.06274 1.72322 20.28571 16.41251
87.60160 16.74124 0.79313 0.51839 228.41053 1.42029 15.45524 14.95378
77.74630 19.85708 0.21730 0.60459 323.16480 1.64000 19.48453 16.37205
29.18782 9.50373 0.12062 0.35164 497.38419 1.14150 13.74212 16.14893
49.50158 7.14509 0.56717 0.97199 433.79461 0.64916 24.70606 16.80381
59.59646 18.51963 0.82899 0.43537 379.84927 0.67255 19.14457 16.65441
76.31847 13.12339 0.11134 0.28277 467.30344 1.06011 19.12576 13.59241
22.54331 19.62111 0.70522 0.31545 115.89148 0.79077 7.22322 10.99802
11.48610 14.54907 0.71813 0.21127 128.13338 1.73112 12.24131 11.98716
15.60177 19.90870 0.50432 0.77276 289.60252 1.39945 17.45234 17.10454
48.90761 13.19106 0.92331 0.65160 239.66697 1.53327 19.63767 14.74478
58.50636 12.89639 0.67992 0.83566 474.90082 1.23666 22.93926 19.53350
55.50811 7.03142 0.10472 0.60566 295.82598 0.63226 14.06695 12.49415
35.38899 10.33558 0.53599 0.83346 315.85964 0.85262 18.52569 15.12259
89.08929 5.39328 0.87339 0.75661 458.10415 1.19240 24.20129 17.86443
56.37962 7.40593 0.84736 0.82228 278.65402 0.79789 16.92114 14.91962
40.41129 16.18456 0.68424 0.52519 450.81376 0.53821 19.01095 17.03831
54.07586 5.45600 0.70633 0.71822 201.43270 1.59410 21.62814 14.55631
69.62675 10.49815 0.62065 0.34384 209.52388 1.58738 15.32684 11.77966
63.53863 17.93519 0.34671 0.45746 231.34456 0.99559 15.95272 12.36197
31.19356 15.39017 0.60448 0.33808 319.02571 1.76524 14.28105 15.77809
15.30679 15.36413 0.70456 0.52691 188.05147 1.14266 14.37876 13.07355
39.60674 7.82955 0.41719 0.39313 368.57167 1.79703 15.00606 15.43684
60.37740 11.62856 0.87025 0.52554 157.11731 1.48560 17.22340 12.85998
26.81392 13.72366 0.27553 0.98018 137.64011 1.37155 16.80714 12.18145
70.22044 19.84628 0.77259 0.45626 448.07670 0.80109 20.17471 17.54843
15.32292 8.05859 0.36064 0.98599 194.74748 1.29432 14.32653 12.82841
30.82521 8.71599 0.79642 0.70904 254.40160 1.84165 18.79027 15.47627
74.38037 8.93260 0.48496 0.50007 328.61684 0.95749 16.52696 16.37299
25.47474 16.25259 0.82693 0.88599 310.32079 1.80642 18.61813 17.48667
61.15687 11.85463 0.41818 0.69567 130.40955 1.86312 16.59520 11.38119
51.97362 5.85394 0.29232 0.40163 449.65037 0.99477 13.53604 14.02141
83.98464 12.62774 0.79056 0.83428 480.45425 1.52461 24.74119 19.56705
31.06374 8.17940 0.37778 0.54635 425.00292 1.84883 14.37171 17.28888
15.27689 16.97906 0.75992 0.48601 213.52073 0.61355 14.32598 13.67673
68.80528 9.45997 0.77003 0.46422 311.13872 1.81788 18.02458 17.58629
71.77424 5.41409 0.29926 0.75790 235.76669 0.78626 15.16369 11.82261
82.62527 13.90149 0.29270 0.41492 321.86692 1.77465 18.28438 12.23162
84.55777 17.65761 0.27905 0.84662 489.76139 1.50068 26.88412 19.80404
11.11613 10.71524 0.22827 0.43623 224.68117 1.01651 9.40345 9.20503
28.74897 16.24787 0.43937 0.63530 367.51864 0.72706 17.71138 14.64675
59.34227 12.66712 0.12397 0.59034 230.38688 1.45306 14.28062 11.09878
85.92131 13.11428 0.19983 0.88429 409.79091 1.77168 21.94339 18.40570
